Series,Tag,Total Return,Ann. Return,Vol,Sharpe,Max DD,Days
SPY (real ETF),ETF,71.56%,11.56%,17.25%,0.44,-25.36%,1243
SYLD (real ETF),ETF,35.73%,6.39%,20.37%,0.12,-27.43%,1243
VLUE (real ETF),ETF,82.24%,12.94%,18.40%,0.49,-28.77%,1243
IUSV (real ETF),ETF,55.97%,9.43%,14.58%,0.37,-19.20%,1243
SPHQ (real ETF),ETF,72.05%,11.63%,16.74%,0.46,-26.02%,1243
QUAL (real ETF),ETF,60.90%,10.12%,17.46%,0.35,-29.04%,1243
MTUM (real ETF),ETF,73.49%,11.82%,21.69%,0.36,-32.77%,1243
USMV (real ETF),ETF,27.65%,5.07%,12.49%,0.09,-18.87%,1243
SPLV (real ETF),ETF,21.88%,4.09%,12.62%,0.01,-18.01%,1243
magic_formula,our backtest,16.28%,3.10%,18.80%,-0.05,-35.53%,1244
piotroski,our backtest,30.73%,5.58%,16.70%,0.09,-21.79%,1244
garp,our backtest,41.64%,7.31%,18.62%,0.18,-25.21%,1244
quality_value,our backtest,37.19%,6.62%,18.15%,0.14,-25.82%,1244
three_factor,our backtest,39.23%,6.93%,18.50%,0.16,-26.24%,1244
six_factor,our backtest,89.74%,13.85%,18.19%,0.54,-21.04%,1244
low_volatility,our backtest,34.16%,6.13%,12.15%,0.18,-20.27%,1244
shareholder_yield,our backtest,38.25%,6.78%,18.39%,0.15,-27.12%,1244
ml_ensemble,our backtest,72.19%,11.64%,24.85%,0.31,-33.38%,1244
